X1,X2,Y
28,27,0
32,57,0
8,38,0
73,61,1
55,3,1
49,98,0
76,63,1
59,26,1
29,75,0
9,98,0
16,74,0
41,58,0
49,64,0
99,54,1
95,65,1
37,85,0
61,96,1
84,78,1
72,73,1
11,88,0
7,43,0
50,51,0
25,0,0
91,40,1
77,36,1
15,50,0
46,97,0
30,57,0
89,66,1
3,76,0
36,28,0
30,8,0
99,38,1
77,84,1
88,86,1
75,68,1
88,97,1
99,7,1
38,31,0
65,9,1
38,94,0
93,57,1
37,15,0
32,71,0
40,15,0
79,19,1
94,92,1
81,9,1
85,76,1
32,59,0
68,16,1
78,86,1
88,44,1
9,67,0
92,75,1
4,14,0
13,47,0
49,98,0
18,75,0
79,74,1
4,58,0
94,61,1
73,78,1
95,43,1
3,60,0
41,55,0
47,79,0
31,100,0
55,44,1
85,83,1
15,76,0
86,72,1
15,86,0
89,93,1
51,93,1
4,33,0
7,0,0
45,14,0
1,69,0
13,17,0
54,52,1
95,5,1
58,82,1
57,94,1
92,76,1
11,35,0
85,12,1
27,4,0
32,22,0
18,1,0
32,0,0
50,3,0
7,97,0
73,56,1
42,92,0
9,93,0
76,56,1
52,42,1
75,23,1
14,64,0
