X1,X2,Y
28,27,1
32,57,1
8,38,1
73,61,0
55,3,1
49,98,0
76,63,0
59,26,1
29,75,0
9,98,0
16,74,1
41,58,1
49,64,0
99,54,0
95,65,0
37,85,0
61,96,0
84,78,0
72,73,0
11,88,1
7,43,1
50,51,0
25,0,1
91,40,0
77,36,0
15,50,1
46,97,0
30,57,1
89,66,0
3,76,1
36,28,1
30,8,1
99,38,0
77,84,0
88,86,0
75,68,0
88,97,0
99,7,0
38,31,1
65,9,1
38,94,0
93,57,0
37,15,1
32,71,0
40,15,1
79,19,1
94,92,0
81,9,1
85,76,0
32,59,1
68,16,1
78,86,0
88,44,0
9,67,1
92,75,0
4,14,1
13,47,1
49,98,0
18,75,1
79,74,0
4,58,1
94,61,0
73,78,0
95,43,0
3,60,1
41,55,1
47,79,0
31,100,0
55,44,1
85,83,0
15,76,1
86,72,0
15,86,0
89,93,0
51,93,0
4,33,1
7,0,1
45,14,1
1,69,1
13,17,1
54,52,0
95,5,1
58,82,0
57,94,0
92,76,0
11,35,1
85,12,1
27,4,1
32,22,1
18,1,1
32,0,1
50,3,1
7,97,0
73,56,0
42,92,0
9,93,0
76,56,0
52,42,1
75,23,1
14,64,1
